"country","year","sex","age_range","freq"
"AD",2000,"m","0-14",0
"AE",2000,"m","0-14",2
"AF",2000,"m","0-14",52
"AG",2000,"m","0-14",0
"AL",2000,"m","0-14",2
"AM",2000,"m","0-14",2
"AN",2000,"m","0-14",0
"AO",2000,"m","0-14",186
"AR",2000,"m","0-14",97
"AS",2000,"m","0-14",NA
"AT",2000,"m","0-14",1
"AU",2000,"m","0-14",3
"AZ",2000,"m","0-14",0
"BA",2000,"m","0-14",4
"BB",2000,"m","0-14",0
"BD",2000,"m","0-14",256
"BE",2000,"m","0-14",3
"BF",2000,"m","0-14",12
"BG",2000,"m","0-14",0
"BH",2000,"m","0-14",0
"BI",2000,"m","0-14",NA
"BJ",2000,"m","0-14",19
"BM",2000,"m","0-14",NA
"BN",2000,"m","0-14",0
"BO",2000,"m","0-14",166
"BR",2000,"m","0-14",1894
"BS",2000,"m","0-14",1
"BT",2000,"m","0-14",6
"BW",2000,"m","0-14",25
"BY",2000,"m","0-14",NA
"BZ",2000,"m","0-14",2
"CA",2000,"m","0-14",5
"CD",2000,"m","0-14",485
"CF",2000,"m","0-14",NA
"CG",2000,"m","0-14",NA
"CH",2000,"m","0-14",0
"CI",2000,"m","0-14",NA
"CK",2000,"m","0-14",0
"CL",2000,"m","0-14",6
"CM",2000,"m","0-14",41
"CN",2000,"m","0-14",1131
"CO",2000,"m","0-14",246
"CR",2000,"m","0-14",14
"CU",2000,"m","0-14",0
"CV",2000,"m","0-14",NA
"CY",2000,"m","0-14",NA
"CZ",2000,"m","0-14",0
"DE",2000,"m","0-14",NA
"DJ",2000,"m","0-14",17
"DK",2000,"m","0-14",5
"DO",2000,"m","0-14",73
"DZ",2000,"m","0-14",59
"EC",2000,"m","0-14",NA
"EE",2000,"m","0-14",0
"EG",2000,"m","0-14",21
"ER",2000,"m","0-14",9
"ES",2000,"m","0-14",NA
"ET",2000,"m","0-14",915
"FI",2000,"m","0-14",0
"FJ",2000,"m","0-14",0
"FM",2000,"m","0-14",0
"FR",2000,"m","0-14",10
"GB",2000,"m","0-14",8
"GD",2000,"m","0-14",NA
"GE",2000,"m","0-14",4
"GH",2000,"m","0-14",73
"GN",2000,"m","0-14",39
"GR",2000,"m","0-14",1
"GT",2000,"m","0-14",36
"GU",2000,"m","0-14",2
"GW",2000,"m","0-14",2
"GY",2000,"m","0-14",4
"HK",2000,"m","0-14",4
"HN",2000,"m","0-14",30
"HR",2000,"m","0-14",NA
"HT",2000,"m","0-14",67
"HU",2000,"m","0-14",0
"ID",2000,"m","0-14",NA
"IE",2000,"m","0-14",0
"IL",2000,"m","0-14",0
"IN",2000,"m","0-14",1588
"IQ",2000,"m","0-14",21
"IR",2000,"m","0-14",29
"IS",2000,"m","0-14",NA
"IT",2000,"m","0-14",12
"JM",2000,"m","0-14",0
"JO",2000,"m","0-14",0
"JP",2000,"m","0-14",2
"KE",2000,"m","0-14",264
"KG",2000,"m","0-14",4
"KH",2000,"m","0-14",26
"KI",2000,"m","0-14",2
"KM",2000,"m","0-14",0
"KN",2000,"m","0-14",NA
"KP",2000,"m","0-14",293
"KR",2000,"m","0-14",19
"KW",2000,"m","0-14",0
"KY",2000,"m","0-14",0
"KZ",2000,"m","0-14",36
"LA",2000,"m","0-14",7
"LB",2000,"m","0-14",5
"LC",2000,"m","0-14",0
"LK",2000,"m","0-14",25
"LR",2000,"m","0-14",12
"LS",2000,"m","0-14",8
"LT",2000,"m","0-14",1
"LU",2000,"m","0-14",NA
"LV",2000,"m","0-14",0
"LY",2000,"m","0-14",5
"MA",2000,"m","0-14",99
"MC",2000,"m","0-14",NA
"MD",2000,"m","0-14",2
"MG",2000,"m","0-14",NA
"MH",2000,"m","0-14",3
"MK",2000,"m","0-14",5
"ML",2000,"m","0-14",23
"MM",2000,"m","0-14",88
"MN",2000,"m","0-14",6
"MO",2000,"m","0-14",0
"MP",2000,"m","0-14",1
"MR",2000,"m","0-14",NA
"MS",2000,"m","0-14",NA
"MT",2000,"m","0-14",0
"MU",2000,"m","0-14",2
"MV",2000,"m","0-14",0
"MW",2000,"m","0-14",50
"MX",2000,"m","0-14",214
"MY",2000,"m","0-14",32
"MZ",2000,"m","0-14",NA
NA,2000,"m","0-14",18
"NC",2000,"m","0-14",1
"NE",2000,"m","0-14",29
"NG",2000,"m","0-14",157
"NI",2000,"m","0-14",18
"NL",2000,"m","0-14",0
"NO",2000,"m","0-14",0
"NP",2000,"m","0-14",170
"NR",2000,"m","0-14",NA
"NU",2000,"m","0-14",NA
"NZ",2000,"m","0-14",0
"OM",2000,"m","0-14",1
"PA",2000,"m","0-14",3
"PE",2000,"m","0-14",552
"PF",2000,"m","0-14",1
"PG",2000,"m","0-14",8
"PH",2000,"m","0-14",NA
"PK",2000,"m","0-14",55
"PL",2000,"m","0-14",1
"PR",2000,"m","0-14",0
"PS",2000,"m","0-14",NA
"PT",2000,"m","0-14",8
"PY",2000,"m","0-14",16
"QA",2000,"m","0-14",0
"RO",2000,"m","0-14",46
"RU",2000,"m","0-14",1
"RW",2000,"m","0-14",155
"SA",2000,"m","0-14",0
"SB",2000,"m","0-14",3
"SC",2000,"m","0-14",NA
"SD",2000,"m","0-14",785
"SE",2000,"m","0-14",0
"SG",2000,"m","0-14",1
"SI",2000,"m","0-14",0
"SK",2000,"m","0-14",2
"SL",2000,"m","0-14",18
"SM",2000,"m","0-14",NA
"SN",2000,"m","0-14",60
"SO",2000,"m","0-14",113
"SR",2000,"m","0-14",1
"ST",2000,"m","0-14",1
"SV",2000,"m","0-14",13
"SY",2000,"m","0-14",8
"SZ",2000,"m","0-14",11
"TC",2000,"m","0-14",NA
"TG",2000,"m","0-14",4
"TH",2000,"m","0-14",27
"TJ",2000,"m","0-14",NA
"TK",2000,"m","0-14",NA
"TM",2000,"m","0-14",16
"TN",2000,"m","0-14",16
"TO",2000,"m","0-14",NA
"TR",2000,"m","0-14",NA
"TT",2000,"m","0-14",0
"TV",2000,"m","0-14",NA
"TZ",2000,"m","0-14",200
"UA",2000,"m","0-14",21
"UG",2000,"m","0-14",283
"US",2000,"m","0-14",6
"UY",2000,"m","0-14",0
"UZ",2000,"m","0-14",6
"VC",2000,"m","0-14",0
"VE",2000,"m","0-14",NA
"VG",2000,"m","0-14",NA
"VN",2000,"m","0-14",51
"VU",2000,"m","0-14",2
"WS",2000,"m","0-14",0
"YE",2000,"m","0-14",110
"YU",2000,"m","0-14",NA
"ZA",2000,"m","0-14",116
"ZM",2000,"m","0-14",349
"ZW",2000,"m","0-14",NA
"AD",2000,"m","15-24",0
"AE",2000,"m","15-24",4
"AF",2000,"m","15-24",228
"AG",2000,"m","15-24",0
"AL",2000,"m","15-24",19
"AM",2000,"m","15-24",152
"AN",2000,"m","15-24",0
"AO",2000,"m","15-24",999
"AR",2000,"m","15-24",278
"AS",2000,"m","15-24",NA
"AT",2000,"m","15-24",17
"AU",2000,"m","15-24",16
"AZ",2000,"m","15-24",9
"BA",2000,"m","15-24",56
"BB",2000,"m","15-24",0
"BD",2000,"m","15-24",3640
"BE",2000,"m","15-24",20
"BF",2000,"m","15-24",91
"BG",2000,"m","15-24",13
"BH",2000,"m","15-24",0
"BI",2000,"m","15-24",NA
"BJ",2000,"m","15-24",277
"BM",2000,"m","15-24",NA
"BN",2000,"m","15-24",6
"BO",2000,"m","15-24",1182
"BR",2000,"m","15-24",7268
"BS",2000,"m","15-24",2
"BT",2000,"m","15-24",65
"BW",2000,"m","15-24",185
"BY",2000,"m","15-24",NA
"BZ",2000,"m","15-24",5
"CA",2000,"m","15-24",34
"CD",2000,"m","15-24",4048
"CF",2000,"m","15-24",NA
"CG",2000,"m","15-24",NA
"CH",2000,"m","15-24",5
"CI",2000,"m","15-24",NA
"CK",2000,"m","15-24",0
"CL",2000,"m","15-24",81
"CM",2000,"m","15-24",518
"CN",2000,"m","15-24",19111
"CO",2000,"m","15-24",763
"CR",2000,"m","15-24",31
"CU",2000,"m","15-24",71
"CV",2000,"m","15-24",NA
"CY",2000,"m","15-24",NA
"CZ",2000,"m","15-24",7
"DE",2000,"m","15-24",NA
"DJ",2000,"m","15-24",302
"DK",2000,"m","15-24",10
"DO",2000,"m","15-24",410
"DZ",2000,"m","15-24",927
"EC",2000,"m","15-24",NA
"EE",2000,"m","15-24",6
"EG",2000,"m","15-24",641
"ER",2000,"m","15-24",70
"ES",2000,"m","15-24",NA
"ET",2000,"m","15-24",5095
"FI",2000,"m","15-24",3
"FJ",2000,"m","15-24",8
"FM",2000,"m","15-24",2
"FR",2000,"m","15-24",136
"GB",2000,"m","15-24",86
"GD",2000,"m","15-24",NA
"GE",2000,"m","15-24",76
"GH",2000,"m","15-24",550
"GN",2000,"m","15-24",551
"GR",2000,"m","15-24",10
"GT",2000,"m","15-24",220
"GU",2000,"m","15-24",1
"GW",2000,"m","15-24",52
"GY",2000,"m","15-24",20
"HK",2000,"m","15-24",78
"HN",2000,"m","15-24",123
"HR",2000,"m","15-24",NA
"HT",2000,"m","15-24",836
"HU",2000,"m","15-24",8
"ID",2000,"m","15-24",NA
"IE",2000,"m","15-24",10
"IL",2000,"m","15-24",16
"IN",2000,"m","15-24",20963
"IQ",2000,"m","15-24",627
"IR",2000,"m","15-24",438
"IS",2000,"m","15-24",NA
"IT",2000,"m","15-24",63
"JM",2000,"m","15-24",6
"JO",2000,"m","15-24",8
"JP",2000,"m","15-24",246
"KE",2000,"m","15-24",3739
"KG",2000,"m","15-24",128
"KH",2000,"m","15-24",519
"KI",2000,"m","15-24",9
"KM",2000,"m","15-24",18
"KN",2000,"m","15-24",NA
"KP",2000,"m","15-24",928
"KR",2000,"m","15-24",821
"KW",2000,"m","15-24",10
"KY",2000,"m","15-24",0
"KZ",2000,"m","15-24",1057
"LA",2000,"m","15-24",92
"LB",2000,"m","15-24",16
"LC",2000,"m","15-24",0
"LK",2000,"m","15-24",266
"LR",2000,"m","15-24",133
"LS",2000,"m","15-24",165
"LT",2000,"m","15-24",38
"LU",2000,"m","15-24",NA
"LV",2000,"m","15-24",53
"LY",2000,"m","15-24",101
"MA",2000,"m","15-24",2061
"MC",2000,"m","15-24",NA
"MD",2000,"m","15-24",52
"MG",2000,"m","15-24",NA
"MH",2000,"m","15-24",5
"MK",2000,"m","15-24",8
"ML",2000,"m","15-24",206
"MM",2000,"m","15-24",1459
"MN",2000,"m","15-24",181
"MO",2000,"m","15-24",10
"MP",2000,"m","15-24",4
"MR",2000,"m","15-24",NA
"MS",2000,"m","15-24",NA
"MT",2000,"m","15-24",1
"MU",2000,"m","15-24",6
"MV",2000,"m","15-24",9
"MW",2000,"m","15-24",653
"MX",2000,"m","15-24",1079
"MY",2000,"m","15-24",694
"MZ",2000,"m","15-24",NA
NA,2000,"m","15-24",269
"NC",2000,"m","15-24",1
"NE",2000,"m","15-24",270
"NG",2000,"m","15-24",2173
"NI",2000,"m","15-24",194
"NL",2000,"m","15-24",34
"NO",2000,"m","15-24",1
"NP",2000,"m","15-24",1904
"NR",2000,"m","15-24",NA
"NU",2000,"m","15-24",NA
"NZ",2000,"m","15-24",6
"OM",2000,"m","15-24",8
"PA",2000,"m","15-24",44
"PE",2000,"m","15-24",5290
"PF",2000,"m","15-24",3
"PG",2000,"m","15-24",87
"PH",2000,"m","15-24",NA
"PK",2000,"m","15-24",498
"PL",2000,"m","15-24",99
"PR",2000,"m","15-24",1
"PS",2000,"m","15-24",NA
"PT",2000,"m","15-24",147
"PY",2000,"m","15-24",112
"QA",2000,"m","15-24",7
"RO",2000,"m","15-24",832
"RU",2000,"m","15-24",295
"RW",2000,"m","15-24",466
"SA",2000,"m","15-24",131
"SB",2000,"m","15-24",13
"SC",2000,"m","15-24",NA
"SD",2000,"m","15-24",1028
"SE",2000,"m","15-24",9
"SG",2000,"m","15-24",8
"SI",2000,"m","15-24",3
"SK",2000,"m","15-24",6
"SL",2000,"m","15-24",287
"SM",2000,"m","15-24",NA
"SN",2000,"m","15-24",772
"SO",2000,"m","15-24",740
"SR",2000,"m","15-24",6
"ST",2000,"m","15-24",5
"SV",2000,"m","15-24",99
"SY",2000,"m","15-24",359
"SZ",2000,"m","15-24",130
"TC",2000,"m","15-24",NA
"TG",2000,"m","15-24",101
"TH",2000,"m","15-24",859
"TJ",2000,"m","15-24",NA
"TK",2000,"m","15-24",NA
"TM",2000,"m","15-24",103
"TN",2000,"m","15-24",139
"TO",2000,"m","15-24",2
"TR",2000,"m","15-24",NA
"TT",2000,"m","15-24",7
"TV",2000,"m","15-24",NA
"TZ",2000,"m","15-24",2357
"UA",2000,"m","15-24",693
"UG",2000,"m","15-24",1511
"US",2000,"m","15-24",365
"UY",2000,"m","15-24",36
"UZ",2000,"m","15-24",351
"VC",2000,"m","15-24",1
"VE",2000,"m","15-24",NA
"VG",2000,"m","15-24",NA
"VN",2000,"m","15-24",2367
"VU",2000,"m","15-24",7
"WS",2000,"m","15-24",3
"YE",2000,"m","15-24",789
"YU",2000,"m","15-24",NA
"ZA",2000,"m","15-24",723
"ZM",2000,"m","15-24",2175
"ZW",2000,"m","15-24",NA
"AD",2000,"m","25-34",1
"AE",2000,"m","25-34",4
"AF",2000,"m","25-34",183
"AG",2000,"m","25-34",0
"AL",2000,"m","25-34",21
"AM",2000,"m","25-34",130
"AN",2000,"m","25-34",1
"AO",2000,"m","25-34",1003
"AR",2000,"m","25-34",594
"AS",2000,"m","25-34",NA
"AT",2000,"m","25-34",30
"AU",2000,"m","25-34",35
"AZ",2000,"m","25-34",24
"BA",2000,"m","25-34",82
"BB",2000,"m","25-34",0
"BD",2000,"m","25-34",5643
"BE",2000,"m","25-34",57
"BF",2000,"m","25-34",274
"BG",2000,"m","25-34",16
"BH",2000,"m","25-34",3
"BI",2000,"m","25-34",NA
"BJ",2000,"m","25-34",428
"BM",2000,"m","25-34",NA
"BN",2000,"m","25-34",4
"BO",2000,"m","25-34",797
"BR",2000,"m","25-34",11568
"BS",2000,"m","25-34",7
"BT",2000,"m","25-34",41
"BW",2000,"m","25-34",605
"BY",2000,"m","25-34",NA
"BZ",2000,"m","25-34",7
"CA",2000,"m","25-34",45
"CD",2000,"m","25-34",5833
"CF",2000,"m","25-34",NA
"CG",2000,"m","25-34",NA
"CH",2000,"m","25-34",18
"CI",2000,"m","25-34",NA
"CK",2000,"m","25-34",0
"CL",2000,"m","25-34",160
"CM",2000,"m","25-34",842
"CN",2000,"m","25-34",29399
"CO",2000,"m","25-34",1030
"CR",2000,"m","25-34",53
"CU",2000,"m","25-34",167
"CV",2000,"m","25-34",NA
"CY",2000,"m","25-34",NA
"CZ",2000,"m","25-34",31
"DE",2000,"m","25-34",NA
"DJ",2000,"m","25-34",347
"DK",2000,"m","25-34",20
"DO",2000,"m","25-34",481
"DZ",2000,"m","25-34",1516
"EC",2000,"m","25-34",NA
"EE",2000,"m","25-34",31
"EG",2000,"m","25-34",827
"ER",2000,"m","25-34",75
"ES",2000,"m","25-34",NA
"ET",2000,"m","25-34",5187
"FI",2000,"m","25-34",8
"FJ",2000,"m","25-34",6
"FM",2000,"m","25-34",0
"FR",2000,"m","25-34",248
"GB",2000,"m","25-34",130
"GD",2000,"m","25-34",NA
"GE",2000,"m","25-34",111
"GH",2000,"m","25-34",1266
"GN",2000,"m","25-34",860
"GR",2000,"m","25-34",22
"GT",2000,"m","25-34",236
"GU",2000,"m","25-34",6
"GW",2000,"m","25-34",92
"GY",2000,"m","25-34",19
"HK",2000,"m","25-34",102
"HN",2000,"m","25-34",371
"HR",2000,"m","25-34",NA
"HT",2000,"m","25-34",898
"HU",2000,"m","25-34",24
"ID",2000,"m","25-34",NA
"IE",2000,"m","25-34",7
"IL",2000,"m","25-34",28
"IN",2000,"m","25-34",31090
"IQ",2000,"m","25-34",317
"IR",2000,"m","25-34",467
"IS",2000,"m","25-34",NA
"IT",2000,"m","25-34",96
"JM",2000,"m","25-34",13
"JO",2000,"m","25-34",16
"JP",2000,"m","25-34",572
"KE",2000,"m","25-34",6653
"KG",2000,"m","25-34",227
"KH",2000,"m","25-34",1323
"KI",2000,"m","25-34",3
"KM",2000,"m","25-34",7
"KN",2000,"m","25-34",NA
"KP",2000,"m","25-34",1508
"KR",2000,"m","25-34",1085
"KW",2000,"m","25-34",44
"KY",2000,"m","25-34",3
"KZ",2000,"m","25-34",1409
"LA",2000,"m","25-34",128
"LB",2000,"m","25-34",28
"LC",2000,"m","25-34",0
"LK",2000,"m","25-34",459
"LR",2000,"m","25-34",196
"LS",2000,"m","25-34",458
"LT",2000,"m","25-34",97
"LU",2000,"m","25-34",NA
"LV",2000,"m","25-34",106
"LY",2000,"m","25-34",239
"MA",2000,"m","25-34",2423
"MC",2000,"m","25-34",NA
"MD",2000,"m","25-34",31
"MG",2000,"m","25-34",NA
"MH",2000,"m","25-34",4
"MK",2000,"m","25-34",14
"ML",2000,"m","25-34",430
"MM",2000,"m","25-34",2636
"MN",2000,"m","25-34",260
"MO",2000,"m","25-34",8
"MP",2000,"m","25-34",8
"MR",2000,"m","25-34",NA
"MS",2000,"m","25-34",NA
"MT",2000,"m","25-34",0
"MU",2000,"m","25-34",9
"MV",2000,"m","25-34",10
"MW",2000,"m","25-34",1476
"MX",2000,"m","25-34",1387
"MY",2000,"m","25-34",1138
"MZ",2000,"m","25-34",NA
NA,2000,"m","25-34",874
"NC",2000,"m","25-34",3
"NE",2000,"m","25-34",174
"NG",2000,"m","25-34",3164
"NI",2000,"m","25-34",174
"NL",2000,"m","25-34",63
"NO",2000,"m","25-34",9
"NP",2000,"m","25-34",1763
"NR",2000,"m","25-34",NA
"NU",2000,"m","25-34",NA
"NZ",2000,"m","25-34",5
"OM",2000,"m","25-34",9
"PA",2000,"m","25-34",78
"PE",2000,"m","25-34",2875
"PF",2000,"m","25-34",3
"PG",2000,"m","25-34",70
"PH",2000,"m","25-34",NA
"PK",2000,"m","25-34",387
"PL",2000,"m","25-34",303
"PR",2000,"m","25-34",4
"PS",2000,"m","25-34",NA
"PT",2000,"m","25-34",375
"PY",2000,"m","25-34",103
"QA",2000,"m","25-34",19
"RO",2000,"m","25-34",1508
"RU",2000,"m","25-34",526
"RW",2000,"m","25-34",974
"SA",2000,"m","25-34",268
"SB",2000,"m","25-34",4
"SC",2000,"m","25-34",2
"SD",2000,"m","25-34",1511
"SE",2000,"m","25-34",10
"SG",2000,"m","25-34",9
"SI",2000,"m","25-34",11
"SK",2000,"m","25-34",15
"SL",2000,"m","25-34",486
"SM",2000,"m","25-34",NA
"SN",2000,"m","25-34",1297
"SO",2000,"m","25-34",724
"SR",2000,"m","25-34",6
"ST",2000,"m","25-34",11
"SV",2000,"m","25-34",124
"SY",2000,"m","25-34",289
"SZ",2000,"m","25-34",352
"TC",2000,"m","25-34",NA
"TG",2000,"m","25-34",168
"TH",2000,"m","25-34",2570
"TJ",2000,"m","25-34",NA
"TK",2000,"m","25-34",NA
"TM",2000,"m","25-34",185
"TN",2000,"m","25-34",208
"TO",2000,"m","25-34",1
"TR",2000,"m","25-34",NA
"TT",2000,"m","25-34",18
"TV",2000,"m","25-34",NA
"TZ",2000,"m","25-34",4836
"UA",2000,"m","25-34",1552
"UG",2000,"m","25-34",3497
"US",2000,"m","25-34",602
"UY",2000,"m","25-34",48
"UZ",2000,"m","25-34",749
"VC",2000,"m","25-34",0
"VE",2000,"m","25-34",NA
"VG",2000,"m","25-34",NA
"VN",2000,"m","25-34",6147
"VU",2000,"m","25-34",5
"WS",2000,"m","25-34",1
"YE",2000,"m","25-34",689
"YU",2000,"m","25-34",NA
"ZA",2000,"m","25-34",1999
"ZM",2000,"m","25-34",2610
"ZW",2000,"m","25-34",NA
"AD",2000,"m","35-44",0
"AE",2000,"m","35-44",6
"AF",2000,"m","35-44",149
"AG",2000,"m","35-44",0
"AL",2000,"m","35-44",14
"AM",2000,"m","35-44",131
"AN",2000,"m","35-44",2
"AO",2000,"m","35-44",912
"AR",2000,"m","35-44",402
"AS",2000,"m","35-44",NA
"AT",2000,"m","35-44",59
"AU",2000,"m","35-44",25
"AZ",2000,"m","35-44",33
"BA",2000,"m","35-44",99
"BB",2000,"m","35-44",2
"BD",2000,"m","35-44",5750
"BE",2000,"m","35-44",39
"BF",2000,"m","35-44",252
"BG",2000,"m","35-44",20
"BH",2000,"m","35-44",2
"BI",2000,"m","35-44",NA
"BJ",2000,"m","35-44",327
"BM",2000,"m","35-44",NA
"BN",2000,"m","35-44",15
"BO",2000,"m","35-44",518
"BR",2000,"m","35-44",11906
"BS",2000,"m","35-44",9
"BT",2000,"m","35-44",30
"BW",2000,"m","35-44",488
"BY",2000,"m","35-44",NA
"BZ",2000,"m","35-44",2
"CA",2000,"m","35-44",46
"CD",2000,"m","35-44",4151
"CF",2000,"m","35-44",NA
"CG",2000,"m","35-44",NA
"CH",2000,"m","35-44",10
"CI",2000,"m","35-44",NA
"CK",2000,"m","35-44",0
"CL",2000,"m","35-44",198
"CM",2000,"m","35-44",584
"CN",2000,"m","35-44",25206
"CO",2000,"m","35-44",963
"CR",2000,"m","35-44",62
"CU",2000,"m","35-44",90
"CV",2000,"m","35-44",NA
"CY",2000,"m","35-44",NA
"CZ",2000,"m","35-44",52
"DE",2000,"m","35-44",NA
"DJ",2000,"m","35-44",139
"DK",2000,"m","35-44",24
"DO",2000,"m","35-44",344
"DZ",2000,"m","35-44",610
"EC",2000,"m","35-44",NA
"EE",2000,"m","35-44",53
"EG",2000,"m","35-44",667
"ER",2000,"m","35-44",57
"ES",2000,"m","35-44",NA
"ET",2000,"m","35-44",3082
"FI",2000,"m","35-44",22
"FJ",2000,"m","35-44",13
"FM",2000,"m","35-44",1
"FR",2000,"m","35-44",247
"GB",2000,"m","35-44",96
"GD",2000,"m","35-44",NA
"GE",2000,"m","35-44",113
"GH",2000,"m","35-44",1115
"GN",2000,"m","35-44",570
"GR",2000,"m","35-44",32
"GT",2000,"m","35-44",216
"GU",2000,"m","35-44",6
"GW",2000,"m","35-44",80
"GY",2000,"m","35-44",14
"HK",2000,"m","35-44",160
"HN",2000,"m","35-44",246
"HR",2000,"m","35-44",NA
"HT",2000,"m","35-44",613
"HU",2000,"m","35-44",85
"ID",2000,"m","35-44",NA
"IE",2000,"m","35-44",7
"IL",2000,"m","35-44",17
"IN",2000,"m","35-44",30829
"IQ",2000,"m","35-44",297
"IR",2000,"m","35-44",387
"IS",2000,"m","35-44",NA
"IT",2000,"m","35-44",75
"JM",2000,"m","35-44",13
"JO",2000,"m","35-44",13
"JP",2000,"m","35-44",676
"KE",2000,"m","35-44",3548
"KG",2000,"m","35-44",205
"KH",2000,"m","35-44",1618
"KI",2000,"m","35-44",3
"KM",2000,"m","35-44",14
"KN",2000,"m","35-44",NA
"KP",2000,"m","35-44",2927
"KR",2000,"m","35-44",988
"KW",2000,"m","35-44",32
"KY",2000,"m","35-44",1
"KZ",2000,"m","35-44",1379
"LA",2000,"m","35-44",166
"LB",2000,"m","35-44",20
"LC",2000,"m","35-44",1
"LK",2000,"m","35-44",695
"LR",2000,"m","35-44",127
"LS",2000,"m","35-44",517
"LT",2000,"m","35-44",145
"LU",2000,"m","35-44",NA
"LV",2000,"m","35-44",124
"LY",2000,"m","35-44",86
"MA",2000,"m","35-44",1705
"MC",2000,"m","35-44",NA
"MD",2000,"m","35-44",36
"MG",2000,"m","35-44",NA
"MH",2000,"m","35-44",1
"MK",2000,"m","35-44",20
"ML",2000,"m","35-44",396
"MM",2000,"m","35-44",2781
"MN",2000,"m","35-44",171
"MO",2000,"m","35-44",25
"MP",2000,"m","35-44",9
"MR",2000,"m","35-44",NA
"MS",2000,"m","35-44",NA
"MT",2000,"m","35-44",1
"MU",2000,"m","35-44",18
"MV",2000,"m","35-44",2
"MW",2000,"m","35-44",1113
"MX",2000,"m","35-44",1162
"MY",2000,"m","35-44",1177
"MZ",2000,"m","35-44",NA
NA,2000,"m","35-44",665
"NC",2000,"m","35-44",4
"NE",2000,"m","35-44",441
"NG",2000,"m","35-44",1836
"NI",2000,"m","35-44",147
"NL",2000,"m","35-44",41
"NO",2000,"m","35-44",3
"NP",2000,"m","35-44",1713
"NR",2000,"m","35-44",NA
"NU",2000,"m","35-44",NA
"NZ",2000,"m","35-44",6
"OM",2000,"m","35-44",11
"PA",2000,"m","35-44",61
"PE",2000,"m","35-44",1546
"PF",2000,"m","35-44",4
"PG",2000,"m","35-44",30
"PH",2000,"m","35-44",NA
"PK",2000,"m","35-44",256
"PL",2000,"m","35-44",812
"PR",2000,"m","35-44",19
"PS",2000,"m","35-44",NA
"PT",2000,"m","35-44",349
"PY",2000,"m","35-44",105
"QA",2000,"m","35-44",9
"RO",2000,"m","35-44",1799
"RU",2000,"m","35-44",596
"RW",2000,"m","35-44",824
"SA",2000,"m","35-44",213
"SB",2000,"m","35-44",8
"SC",2000,"m","35-44",4
"SD",2000,"m","35-44",1351
"SE",2000,"m","35-44",12
"SG",2000,"m","35-44",34
"SI",2000,"m","35-44",36
"SK",2000,"m","35-44",31
"SL",2000,"m","35-44",361
"SM",2000,"m","35-44",NA
"SN",2000,"m","35-44",857
"SO",2000,"m","35-44",408
"SR",2000,"m","35-44",3
"ST",2000,"m","35-44",4
"SV",2000,"m","35-44",114
"SY",2000,"m","35-44",125
"SZ",2000,"m","35-44",249
"TC",2000,"m","35-44",NA
"TG",2000,"m","35-44",144
"TH",2000,"m","35-44",2380
"TJ",2000,"m","35-44",NA
"TK",2000,"m","35-44",NA
"TM",2000,"m","35-44",144
"TN",2000,"m","35-44",156
"TO",2000,"m","35-44",1
"TR",2000,"m","35-44",NA
"TT",2000,"m","35-44",27
"TV",2000,"m","35-44",NA
"TZ",2000,"m","35-44",3430
"UA",2000,"m","35-44",2385
"UG",2000,"m","35-44",2479
"US",2000,"m","35-44",906
"UY",2000,"m","35-44",45
"UZ",2000,"m","35-44",510
"VC",2000,"m","35-44",4
"VE",2000,"m","35-44",NA
"VG",2000,"m","35-44",NA
"VN",2000,"m","35-44",8209
"VU",2000,"m","35-44",1
"WS",2000,"m","35-44",1
"YE",2000,"m","35-44",493
"YU",2000,"m","35-44",NA
"ZA",2000,"m","35-44",2135
"ZM",2000,"m","35-44",3045
"ZW",2000,"m","35-44",NA
