"country","year","sex","age_range","freq"
"AD",2000,"m","45-54",0
"AE",2000,"m","45-54",5
"AF",2000,"m","45-54",129
"AG",2000,"m","45-54",0
"AL",2000,"m","45-54",24
"AM",2000,"m","45-54",63
"AN",2000,"m","45-54",0
"AO",2000,"m","45-54",482
"AR",2000,"m","45-54",419
"AS",2000,"m","45-54",1
"AT",2000,"m","45-54",42
"AU",2000,"m","45-54",24
"AZ",2000,"m","45-54",42
"BA",2000,"m","45-54",66
"BB",2000,"m","45-54",0
"BD",2000,"m","45-54",4718
"BE",2000,"m","45-54",55
"BF",2000,"m","45-54",133
"BG",2000,"m","45-54",3
"BH",2000,"m","45-54",5
"BI",2000,"m","45-54",NA
"BJ",2000,"m","45-54",213
"BM",2000,"m","45-54",NA
"BN",2000,"m","45-54",5
"BO",2000,"m","45-54",466
"BR",2000,"m","45-54",8623
"BS",2000,"m","45-54",4
"BT",2000,"m","45-54",24
"BW",2000,"m","45-54",267
"BY",2000,"m","45-54",NA
"BZ",2000,"m","45-54",6
"CA",2000,"m","45-54",41
"CD",2000,"m","45-54",2549
"CF",2000,"m","45-54",NA
"CG",2000,"m","45-54",NA
"CH",2000,"m","45-54",7
"CI",2000,"m","45-54",NA
"CK",2000,"m","45-54",0
"CL",2000,"m","45-54",150
"CM",2000,"m","45-54",284
"CN",2000,"m","45-54",25593
"CO",2000,"m","45-54",743
"CR",2000,"m","45-54",39
"CU",2000,"m","45-54",74
"CV",2000,"m","45-54",NA
"CY",2000,"m","45-54",NA
"CZ",2000,"m","45-54",89
"DE",2000,"m","45-54",NA
"DJ",2000,"m","45-54",67
"DK",2000,"m","45-54",16
"DO",2000,"m","45-54",173
"DZ",2000,"m","45-54",491
"EC",2000,"m","45-54",NA
"EE",2000,"m","45-54",56
"EG",2000,"m","45-54",476
"ER",2000,"m","45-54",32
"ES",2000,"m","45-54",NA
"ET",2000,"m","45-54",1495
"FI",2000,"m","45-54",19
"FJ",2000,"m","45-54",5
"FM",2000,"m","45-54",0
"FR",2000,"m","45-54",211
"GB",2000,"m","45-54",87
"GD",2000,"m","45-54",NA
"GE",2000,"m","45-54",63
"GH",2000,"m","45-54",811
"GN",2000,"m","45-54",282
"GR",2000,"m","45-54",24
"GT",2000,"m","45-54",177
"GU",2000,"m","45-54",9
"GW",2000,"m","45-54",64
"GY",2000,"m","45-54",7
"HK",2000,"m","45-54",211
"HN",2000,"m","45-54",277
"HR",2000,"m","45-54",NA
"HT",2000,"m","45-54",350
"HU",2000,"m","45-54",104
"ID",2000,"m","45-54",NA
"IE",2000,"m","45-54",6
"IL",2000,"m","45-54",24
"IN",2000,"m","45-54",24230
"IQ",2000,"m","45-54",205
"IR",2000,"m","45-54",295
"IS",2000,"m","45-54",NA
"IT",2000,"m","45-54",58
"JM",2000,"m","45-54",15
"JO",2000,"m","45-54",9
"JP",2000,"m","45-54",1494
"KE",2000,"m","45-54",1630
"KG",2000,"m","45-54",115
"KH",2000,"m","45-54",1456
"KI",2000,"m","45-54",3
"KM",2000,"m","45-54",9
"KN",2000,"m","45-54",NA
"KP",2000,"m","45-54",2519
"KR",2000,"m","45-54",853
"KW",2000,"m","45-54",21
"KY",2000,"m","45-54",0
"KZ",2000,"m","45-54",923
"LA",2000,"m","45-54",201
"LB",2000,"m","45-54",15
"LC",2000,"m","45-54",0
"LK",2000,"m","45-54",793
"LR",2000,"m","45-54",52
"LS",2000,"m","45-54",395
"LT",2000,"m","45-54",155
"LU",2000,"m","45-54",NA
"LV",2000,"m","45-54",111
"LY",2000,"m","45-54",36
"MA",2000,"m","45-54",855
"MC",2000,"m","45-54",NA
"MD",2000,"m","45-54",13
"MG",2000,"m","45-54",NA
"MH",2000,"m","45-54",3
"MK",2000,"m","45-54",19
"ML",2000,"m","45-54",297
"MM",2000,"m","45-54",2161
"MN",2000,"m","45-54",68
"MO",2000,"m","45-54",22
"MP",2000,"m","45-54",9
"MR",2000,"m","45-54",NA
"MS",2000,"m","45-54",NA
"MT",2000,"m","45-54",1
"MU",2000,"m","45-54",19
"MV",2000,"m","45-54",5
"MW",2000,"m","45-54",585
"MX",2000,"m","45-54",1235
"MY",2000,"m","45-54",908
"MZ",2000,"m","45-54",NA
NA,2000,"m","45-54",300
"NC",2000,"m","45-54",2
"NE",2000,"m","45-54",252
"NG",2000,"m","45-54",1091
"NI",2000,"m","45-54",108
"NL",2000,"m","45-54",25
"NO",2000,"m","45-54",6
"NP",2000,"m","45-54",1491
"NR",2000,"m","45-54",1
"NU",2000,"m","45-54",NA
"NZ",2000,"m","45-54",8
"OM",2000,"m","45-54",12
"PA",2000,"m","45-54",37
"PE",2000,"m","45-54",1041
"PF",2000,"m","45-54",4
"PG",2000,"m","45-54",21
"PH",2000,"m","45-54",NA
"PK",2000,"m","45-54",232
"PL",2000,"m","45-54",782
"PR",2000,"m","45-54",9
"PS",2000,"m","45-54",NA
"PT",2000,"m","45-54",208
"PY",2000,"m","45-54",86
"QA",2000,"m","45-54",7
"RO",2000,"m","45-54",1684
"RU",2000,"m","45-54",402
"RW",2000,"m","45-54",393
"SA",2000,"m","45-54",158
"SB",2000,"m","45-54",8
"SC",2000,"m","45-54",1
"SD",2000,"m","45-54",1119
"SE",2000,"m","45-54",11
"SG",2000,"m","45-54",51
"SI",2000,"m","45-54",22
"SK",2000,"m","45-54",50
"SL",2000,"m","45-54",190
"SM",2000,"m","45-54",NA
"SN",2000,"m","45-54",470
"SO",2000,"m","45-54",254
"SR",2000,"m","45-54",2
"ST",2000,"m","45-54",7
"SV",2000,"m","45-54",92
"SY",2000,"m","45-54",86
"SZ",2000,"m","45-54",138
"TC",2000,"m","45-54",NA
"TG",2000,"m","45-54",109
"TH",2000,"m","45-54",2117
"TJ",2000,"m","45-54",NA
"TK",2000,"m","45-54",NA
"TM",2000,"m","45-54",127
"TN",2000,"m","45-54",109
"TO",2000,"m","45-54",NA
"TR",2000,"m","45-54",NA
"TT",2000,"m","45-54",17
"TV",2000,"m","45-54",NA
"TZ",2000,"m","45-54",2022
"UA",2000,"m","45-54",2007
"UG",2000,"m","45-54",1279
"US",2000,"m","45-54",904
"UY",2000,"m","45-54",41
"UZ",2000,"m","45-54",346
"VC",2000,"m","45-54",2
"VE",2000,"m","45-54",NA
"VG",2000,"m","45-54",NA
"VN",2000,"m","45-54",6713
"VU",2000,"m","45-54",10
"WS",2000,"m","45-54",1
"YE",2000,"m","45-54",314
"YU",2000,"m","45-54",NA
"ZA",2000,"m","45-54",1146
"ZM",2000,"m","45-54",435
"ZW",2000,"m","45-54",NA
"AD",2000,"m","55-64",0
"AE",2000,"m","55-64",12
"AF",2000,"m","55-64",94
"AG",2000,"m","55-64",0
"AL",2000,"m","55-64",19
"AM",2000,"m","55-64",26
"AN",2000,"m","55-64",0
"AO",2000,"m","55-64",312
"AR",2000,"m","55-64",368
"AS",2000,"m","55-64",1
"AT",2000,"m","55-64",23
"AU",2000,"m","55-64",19
"AZ",2000,"m","55-64",30
"BA",2000,"m","55-64",58
"BB",2000,"m","55-64",0
"BD",2000,"m","55-64",3667
"BE",2000,"m","55-64",32
"BF",2000,"m","55-64",68
"BG",2000,"m","55-64",9
"BH",2000,"m","55-64",3
"BI",2000,"m","55-64",NA
"BJ",2000,"m","55-64",103
"BM",2000,"m","55-64",NA
"BN",2000,"m","55-64",7
"BO",2000,"m","55-64",340
"BR",2000,"m","55-64",5085
"BS",2000,"m","55-64",3
"BT",2000,"m","55-64",12
"BW",2000,"m","55-64",135
"BY",2000,"m","55-64",NA
"BZ",2000,"m","55-64",3
"CA",2000,"m","55-64",32
"CD",2000,"m","55-64",1295
"CF",2000,"m","55-64",NA
"CG",2000,"m","55-64",NA
"CH",2000,"m","55-64",5
"CI",2000,"m","55-64",NA
"CK",2000,"m","55-64",0
"CL",2000,"m","55-64",132
"CM",2000,"m","55-64",130
"CN",2000,"m","55-64",21429
"CO",2000,"m","55-64",610
"CR",2000,"m","55-64",28
"CU",2000,"m","55-64",55
"CV",2000,"m","55-64",NA
"CY",2000,"m","55-64",NA
"CZ",2000,"m","55-64",61
"DE",2000,"m","55-64",NA
"DJ",2000,"m","55-64",60
"DK",2000,"m","55-64",11
"DO",2000,"m","55-64",125
"DZ",2000,"m","55-64",234
"EC",2000,"m","55-64",NA
"EE",2000,"m","55-64",35
"EG",2000,"m","55-64",307
"ER",2000,"m","55-64",25
"ES",2000,"m","55-64",NA
"ET",2000,"m","55-64",610
"FI",2000,"m","55-64",28
"FJ",2000,"m","55-64",4
"FM",2000,"m","55-64",0
"FR",2000,"m","55-64",125
"GB",2000,"m","55-64",75
"GD",2000,"m","55-64",NA
"GE",2000,"m","55-64",45
"GH",2000,"m","55-64",495
"GN",2000,"m","55-64",203
"GR",2000,"m","55-64",19
"GT",2000,"m","55-64",112
"GU",2000,"m","55-64",6
"GW",2000,"m","55-64",39
"GY",2000,"m","55-64",6
"HK",2000,"m","55-64",236
"HN",2000,"m","55-64",214
"HR",2000,"m","55-64",NA
"HT",2000,"m","55-64",147
"HU",2000,"m","55-64",58
"ID",2000,"m","55-64",NA
"IE",2000,"m","55-64",4
"IL",2000,"m","55-64",10
"IN",2000,"m","55-64",15308
"IQ",2000,"m","55-64",135
"IR",2000,"m","55-64",344
"IS",2000,"m","55-64",NA
"IT",2000,"m","55-64",54
"JM",2000,"m","55-64",6
"JO",2000,"m","55-64",14
"JP",2000,"m","55-64",1509
"KE",2000,"m","55-64",630
"KG",2000,"m","55-64",52
"KH",2000,"m","55-64",1373
"KI",2000,"m","55-64",8
"KM",2000,"m","55-64",3
"KN",2000,"m","55-64",NA
"KP",2000,"m","55-64",1167
"KR",2000,"m","55-64",731
"KW",2000,"m","55-64",11
"KY",2000,"m","55-64",1
"KZ",2000,"m","55-64",439
"LA",2000,"m","55-64",177
"LB",2000,"m","55-64",17
"LC",2000,"m","55-64",1
"LK",2000,"m","55-64",484
"LR",2000,"m","55-64",17
"LS",2000,"m","55-64",198
"LT",2000,"m","55-64",74
"LU",2000,"m","55-64",NA
"LV",2000,"m","55-64",64
"LY",2000,"m","55-64",29
"MA",2000,"m","55-64",485
"MC",2000,"m","55-64",NA
"MD",2000,"m","55-64",13
"MG",2000,"m","55-64",NA
"MH",2000,"m","55-64",5
"MK",2000,"m","55-64",20
"ML",2000,"m","55-64",235
"MM",2000,"m","55-64",1235
"MN",2000,"m","55-64",38
"MO",2000,"m","55-64",9
"MP",2000,"m","55-64",3
"MR",2000,"m","55-64",NA
"MS",2000,"m","55-64",NA
"MT",2000,"m","55-64",0
"MU",2000,"m","55-64",14
"MV",2000,"m","55-64",5
"MW",2000,"m","55-64",245
"MX",2000,"m","55-64",972
"MY",2000,"m","55-64",814
"MZ",2000,"m","55-64",NA
NA,2000,"m","55-64",147
"NC",2000,"m","55-64",3
"NE",2000,"m","55-64",151
"NG",2000,"m","55-64",566
"NI",2000,"m","55-64",64
"NL",2000,"m","55-64",10
"NO",2000,"m","55-64",2
"NP",2000,"m","55-64",1294
"NR",2000,"m","55-64",NA
"NU",2000,"m","55-64",NA
"NZ",2000,"m","55-64",10
"OM",2000,"m","55-64",9
"PA",2000,"m","55-64",27
"PE",2000,"m","55-64",801
"PF",2000,"m","55-64",4
"PG",2000,"m","55-64",12
"PH",2000,"m","55-64",NA
"PK",2000,"m","55-64",153
"PL",2000,"m","55-64",361
"PR",2000,"m","55-64",10
"PS",2000,"m","55-64",NA
"PT",2000,"m","55-64",140
"PY",2000,"m","55-64",80
"QA",2000,"m","55-64",2
"RO",2000,"m","55-64",916
"RU",2000,"m","55-64",151
"RW",2000,"m","55-64",129
"SA",2000,"m","55-64",86
"SB",2000,"m","55-64",10
"SC",2000,"m","55-64",1
"SD",2000,"m","55-64",638
"SE",2000,"m","55-64",4
"SG",2000,"m","55-64",26
"SI",2000,"m","55-64",14
"SK",2000,"m","55-64",16
"SL",2000,"m","55-64",113
"SM",2000,"m","55-64",NA
"SN",2000,"m","55-64",279
"SO",2000,"m","55-64",195
"SR",2000,"m","55-64",0
"ST",2000,"m","55-64",3
"SV",2000,"m","55-64",62
"SY",2000,"m","55-64",76
"SZ",2000,"m","55-64",37
"TC",2000,"m","55-64",NA
"TG",2000,"m","55-64",48
"TH",2000,"m","55-64",1908
"TJ",2000,"m","55-64",NA
"TK",2000,"m","55-64",NA
"TM",2000,"m","55-64",31
"TN",2000,"m","55-64",65
"TO",2000,"m","55-64",1
"TR",2000,"m","55-64",NA
"TT",2000,"m","55-64",7
"TV",2000,"m","55-64",NA
"TZ",2000,"m","55-64",1202
"UA",2000,"m","55-64",1062
"UG",2000,"m","55-64",607
"US",2000,"m","55-64",577
"UY",2000,"m","55-64",30
"UZ",2000,"m","55-64",213
"VC",2000,"m","55-64",0
"VE",2000,"m","55-64",NA
"VG",2000,"m","55-64",1
"VN",2000,"m","55-64",5150
"VU",2000,"m","55-64",5
"WS",2000,"m","55-64",2
"YE",2000,"m","55-64",255
"YU",2000,"m","55-64",NA
"ZA",2000,"m","55-64",435
"ZM",2000,"m","55-64",261
"ZW",2000,"m","55-64",NA
"AD",2000,"m","65+",0
"AE",2000,"m","65+",10
"AF",2000,"m","65+",80
"AG",2000,"m","65+",1
"AL",2000,"m","65+",16
"AM",2000,"m","65+",21
"AN",2000,"m","65+",0
"AO",2000,"m","65+",194
"AR",2000,"m","65+",330
"AS",2000,"m","65+",NA
"AT",2000,"m","65+",41
"AU",2000,"m","65+",49
"AZ",2000,"m","65+",0
"BA",2000,"m","65+",77
"BB",2000,"m","65+",0
"BD",2000,"m","65+",2837
"BE",2000,"m","65+",56
"BF",2000,"m","65+",65
"BG",2000,"m","65+",10
"BH",2000,"m","65+",4
"BI",2000,"m","65+",NA
"BJ",2000,"m","65+",74
"BM",2000,"m","65+",NA
"BN",2000,"m","65+",15
"BO",2000,"m","65+",366
"BR",2000,"m","65+",4494
"BS",2000,"m","65+",2
"BT",2000,"m","65+",2
"BW",2000,"m","65+",96
"BY",2000,"m","65+",NA
"BZ",2000,"m","65+",5
"CA",2000,"m","65+",79
"CD",2000,"m","65+",602
"CF",2000,"m","65+",NA
"CG",2000,"m","65+",NA
"CH",2000,"m","65+",8
"CI",2000,"m","65+",NA
"CK",2000,"m","65+",0
"CL",2000,"m","65+",126
"CM",2000,"m","65+",75
"CN",2000,"m","65+",21771
"CO",2000,"m","65+",746
"CR",2000,"m","65+",49
"CU",2000,"m","65+",75
"CV",2000,"m","65+",NA
"CY",2000,"m","65+",NA
"CZ",2000,"m","65+",59
"DE",2000,"m","65+",NA
"DJ",2000,"m","65+",42
"DK",2000,"m","65+",14
"DO",2000,"m","65+",113
"DZ",2000,"m","65+",299
"EC",2000,"m","65+",NA
"EE",2000,"m","65+",15
"EG",2000,"m","65+",158
"ER",2000,"m","65+",20
"ES",2000,"m","65+",NA
"ET",2000,"m","65+",397
"FI",2000,"m","65+",53
"FJ",2000,"m","65+",2
"FM",2000,"m","65+",1
"FR",2000,"m","65+",244
"GB",2000,"m","65+",138
"GD",2000,"m","65+",NA
"GE",2000,"m","65+",28
"GH",2000,"m","65+",426
"GN",2000,"m","65+",103
"GR",2000,"m","65+",46
"GT",2000,"m","65+",140
"GU",2000,"m","65+",9
"GW",2000,"m","65+",19
"GY",2000,"m","65+",9
"HK",2000,"m","65+",578
"HN",2000,"m","65+",43
"HR",2000,"m","65+",NA
"HT",2000,"m","65+",118
"HU",2000,"m","65+",27
"ID",2000,"m","65+",NA
"IE",2000,"m","65+",12
"IL",2000,"m","65+",31
"IN",2000,"m","65+",8534
"IQ",2000,"m","65+",101
"IR",2000,"m","65+",642
"IS",2000,"m","65+",NA
"IT",2000,"m","65+",112
"JM",2000,"m","65+",5
"JO",2000,"m","65+",2
"JP",2000,"m","65+",3816
"KE",2000,"m","65+",414
"KG",2000,"m","65+",46
"KH",2000,"m","65+",1058
"KI",2000,"m","65+",2
"KM",2000,"m","65+",4
"KN",2000,"m","65+",NA
"KP",2000,"m","65+",651
"KR",2000,"m","65+",901
"KW",2000,"m","65+",5
"KY",2000,"m","65+",0
"KZ",2000,"m","65+",218
"LA",2000,"m","65+",176
"LB",2000,"m","65+",14
"LC",2000,"m","65+",2
"LK",2000,"m","65+",360
"LR",2000,"m","65+",26
"LS",2000,"m","65+",76
"LT",2000,"m","65+",68
"LU",2000,"m","65+",NA
"LV",2000,"m","65+",34
"LY",2000,"m","65+",32
"MA",2000,"m","65+",595
"MC",2000,"m","65+",NA
"MD",2000,"m","65+",6
"MG",2000,"m","65+",NA
"MH",2000,"m","65+",3
"MK",2000,"m","65+",14
"ML",2000,"m","65+",144
"MM",2000,"m","65+",836
"MN",2000,"m","65+",23
"MO",2000,"m","65+",17
"MP",2000,"m","65+",2
"MR",2000,"m","65+",NA
"MS",2000,"m","65+",NA
"MT",2000,"m","65+",1
"MU",2000,"m","65+",8
"MV",2000,"m","65+",3
"MW",2000,"m","65+",114
"MX",2000,"m","65+",1126
"MY",2000,"m","65+",891
"MZ",2000,"m","65+",NA
NA,2000,"m","65+",81
"NC",2000,"m","65+",4
"NE",2000,"m","65+",78
"NG",2000,"m","65+",463
"NI",2000,"m","65+",90
"NL",2000,"m","65+",21
"NO",2000,"m","65+",4
"NP",2000,"m","65+",772
"NR",2000,"m","65+",NA
"NU",2000,"m","65+",NA
"NZ",2000,"m","65+",7
"OM",2000,"m","65+",11
"PA",2000,"m","65+",26
"PE",2000,"m","65+",796
"PF",2000,"m","65+",3
"PG",2000,"m","65+",5
"PH",2000,"m","65+",NA
"PK",2000,"m","65+",130
"PL",2000,"m","65+",434
"PR",2000,"m","65+",14
"PS",2000,"m","65+",NA
"PT",2000,"m","65+",140
"PY",2000,"m","65+",71
"QA",2000,"m","65+",1
"RO",2000,"m","65+",533
"RU",2000,"m","65+",54
"RW",2000,"m","65+",56
"SA",2000,"m","65+",107
"SB",2000,"m","65+",6
"SC",2000,"m","65+",NA
"SD",2000,"m","65+",677
"SE",2000,"m","65+",25
"SG",2000,"m","65+",64
"SI",2000,"m","65+",17
"SK",2000,"m","65+",32
"SL",2000,"m","65+",47
"SM",2000,"m","65+",1
"SN",2000,"m","65+",189
"SO",2000,"m","65+",142
"SR",2000,"m","65+",4
"ST",2000,"m","65+",10
"SV",2000,"m","65+",107
"SY",2000,"m","65+",55
"SZ",2000,"m","65+",17
"TC",2000,"m","65+",NA
"TG",2000,"m","65+",39
"TH",2000,"m","65+",2213
"TJ",2000,"m","65+",NA
"TK",2000,"m","65+",NA
"TM",2000,"m","65+",21
"TN",2000,"m","65+",101
"TO",2000,"m","65+",5
"TR",2000,"m","65+",NA
"TT",2000,"m","65+",7
"TV",2000,"m","65+",NA
"TZ",2000,"m","65+",834
"UA",2000,"m","65+",532
"UG",2000,"m","65+",395
"US",2000,"m","65+",738
"UY",2000,"m","65+",34
"UZ",2000,"m","65+",107
"VC",2000,"m","65+",1
"VE",2000,"m","65+",NA
"VG",2000,"m","65+",NA
"VN",2000,"m","65+",7712
"VU",2000,"m","65+",2
"WS",2000,"m","65+",1
"YE",2000,"m","65+",127
"YU",2000,"m","65+",NA
"ZA",2000,"m","65+",212
"ZM",2000,"m","65+",174
"ZW",2000,"m","65+",NA
"AD",2000,"m","unknown",NA
"AE",2000,"m","unknown",NA
"AF",2000,"m","unknown",NA
"AG",2000,"m","unknown",NA
"AL",2000,"m","unknown",NA
"AM",2000,"m","unknown",NA
"AN",2000,"m","unknown",NA
"AO",2000,"m","unknown",NA
"AR",2000,"m","unknown",NA
"AS",2000,"m","unknown",NA
"AT",2000,"m","unknown",NA
"AU",2000,"m","unknown",NA
"AZ",2000,"m","unknown",NA
"BA",2000,"m","unknown",NA
"BB",2000,"m","unknown",NA
"BD",2000,"m","unknown",NA
"BE",2000,"m","unknown",NA
"BF",2000,"m","unknown",NA
"BG",2000,"m","unknown",NA
"BH",2000,"m","unknown",NA
"BI",2000,"m","unknown",NA
"BJ",2000,"m","unknown",NA
"BM",2000,"m","unknown",NA
"BN",2000,"m","unknown",NA
"BO",2000,"m","unknown",NA
"BR",2000,"m","unknown",NA
"BS",2000,"m","unknown",NA
"BT",2000,"m","unknown",NA
"BW",2000,"m","unknown",NA
"BY",2000,"m","unknown",NA
"BZ",2000,"m","unknown",NA
"CA",2000,"m","unknown",NA
"CD",2000,"m","unknown",NA
"CF",2000,"m","unknown",NA
"CG",2000,"m","unknown",NA
"CH",2000,"m","unknown",NA
"CI",2000,"m","unknown",NA
"CK",2000,"m","unknown",NA
"CL",2000,"m","unknown",NA
"CM",2000,"m","unknown",NA
"CN",2000,"m","unknown",NA
"CO",2000,"m","unknown",NA
"CR",2000,"m","unknown",NA
"CU",2000,"m","unknown",NA
"CV",2000,"m","unknown",NA
"CY",2000,"m","unknown",NA
"CZ",2000,"m","unknown",NA
"DE",2000,"m","unknown",NA
"DJ",2000,"m","unknown",NA
"DK",2000,"m","unknown",NA
"DO",2000,"m","unknown",NA
"DZ",2000,"m","unknown",NA
"EC",2000,"m","unknown",NA
"EE",2000,"m","unknown",NA
"EG",2000,"m","unknown",NA
"ER",2000,"m","unknown",NA
"ES",2000,"m","unknown",NA
"ET",2000,"m","unknown",NA
"FI",2000,"m","unknown",NA
"FJ",2000,"m","unknown",NA
"FM",2000,"m","unknown",NA
"FR",2000,"m","unknown",NA
"GB",2000,"m","unknown",NA
"GD",2000,"m","unknown",NA
"GE",2000,"m","unknown",NA
"GH",2000,"m","unknown",NA
"GN",2000,"m","unknown",NA
"GR",2000,"m","unknown",NA
"GT",2000,"m","unknown",NA
"GU",2000,"m","unknown",NA
"GW",2000,"m","unknown",NA
"GY",2000,"m","unknown",NA
"HK",2000,"m","unknown",NA
"HN",2000,"m","unknown",NA
"HR",2000,"m","unknown",NA
"HT",2000,"m","unknown",NA
"HU",2000,"m","unknown",NA
"ID",2000,"m","unknown",NA
"IE",2000,"m","unknown",NA
"IL",2000,"m","unknown",NA
"IN",2000,"m","unknown",NA
"IQ",2000,"m","unknown",NA
"IR",2000,"m","unknown",NA
"IS",2000,"m","unknown",NA
"IT",2000,"m","unknown",NA
"JM",2000,"m","unknown",NA
"JO",2000,"m","unknown",NA
"JP",2000,"m","unknown",NA
"KE",2000,"m","unknown",NA
"KG",2000,"m","unknown",NA
"KH",2000,"m","unknown",NA
"KI",2000,"m","unknown",NA
"KM",2000,"m","unknown",NA
"KN",2000,"m","unknown",NA
"KP",2000,"m","unknown",NA
"KR",2000,"m","unknown",NA
"KW",2000,"m","unknown",NA
"KY",2000,"m","unknown",NA
"KZ",2000,"m","unknown",NA
"LA",2000,"m","unknown",NA
"LB",2000,"m","unknown",NA
"LC",2000,"m","unknown",NA
"LK",2000,"m","unknown",NA
"LR",2000,"m","unknown",NA
"LS",2000,"m","unknown",NA
"LT",2000,"m","unknown",NA
"LU",2000,"m","unknown",NA
"LV",2000,"m","unknown",NA
"LY",2000,"m","unknown",NA
"MA",2000,"m","unknown",NA
"MC",2000,"m","unknown",NA
"MD",2000,"m","unknown",NA
"MG",2000,"m","unknown",NA
"MH",2000,"m","unknown",NA
"MK",2000,"m","unknown",NA
"ML",2000,"m","unknown",NA
"MM",2000,"m","unknown",NA
"MN",2000,"m","unknown",NA
"MO",2000,"m","unknown",NA
"MP",2000,"m","unknown",NA
"MR",2000,"m","unknown",NA
"MS",2000,"m","unknown",NA
"MT",2000,"m","unknown",NA
"MU",2000,"m","unknown",NA
"MV",2000,"m","unknown",NA
"MW",2000,"m","unknown",NA
"MX",2000,"m","unknown",NA
"MY",2000,"m","unknown",NA
"MZ",2000,"m","unknown",NA
NA,2000,"m","unknown",NA
"NC",2000,"m","unknown",NA
"NE",2000,"m","unknown",NA
"NG",2000,"m","unknown",NA
"NI",2000,"m","unknown",NA
"NL",2000,"m","unknown",NA
"NO",2000,"m","unknown",NA
"NP",2000,"m","unknown",NA
"NR",2000,"m","unknown",NA
"NU",2000,"m","unknown",NA
"NZ",2000,"m","unknown",NA
"OM",2000,"m","unknown",NA
"PA",2000,"m","unknown",NA
"PE",2000,"m","unknown",NA
"PF",2000,"m","unknown",NA
"PG",2000,"m","unknown",NA
"PH",2000,"m","unknown",NA
"PK",2000,"m","unknown",NA
"PL",2000,"m","unknown",NA
"PR",2000,"m","unknown",NA
"PS",2000,"m","unknown",NA
"PT",2000,"m","unknown",NA
"PY",2000,"m","unknown",NA
"QA",2000,"m","unknown",NA
"RO",2000,"m","unknown",NA
"RU",2000,"m","unknown",NA
"RW",2000,"m","unknown",NA
"SA",2000,"m","unknown",NA
"SB",2000,"m","unknown",NA
"SC",2000,"m","unknown",NA
"SD",2000,"m","unknown",NA
"SE",2000,"m","unknown",NA
"SG",2000,"m","unknown",NA
"SI",2000,"m","unknown",NA
"SK",2000,"m","unknown",NA
"SL",2000,"m","unknown",NA
"SM",2000,"m","unknown",NA
"SN",2000,"m","unknown",NA
"SO",2000,"m","unknown",NA
"SR",2000,"m","unknown",NA
"ST",2000,"m","unknown",NA
"SV",2000,"m","unknown",NA
"SY",2000,"m","unknown",NA
"SZ",2000,"m","unknown",NA
"TC",2000,"m","unknown",NA
"TG",2000,"m","unknown",NA
"TH",2000,"m","unknown",NA
"TJ",2000,"m","unknown",NA
"TK",2000,"m","unknown",NA
"TM",2000,"m","unknown",NA
"TN",2000,"m","unknown",NA
"TO",2000,"m","unknown",NA
"TR",2000,"m","unknown",NA
"TT",2000,"m","unknown",NA
"TV",2000,"m","unknown",NA
"TZ",2000,"m","unknown",NA
"UA",2000,"m","unknown",NA
"UG",2000,"m","unknown",NA
"US",2000,"m","unknown",NA
"UY",2000,"m","unknown",NA
"UZ",2000,"m","unknown",NA
"VC",2000,"m","unknown",NA
"VE",2000,"m","unknown",NA
"VG",2000,"m","unknown",NA
"VN",2000,"m","unknown",NA
"VU",2000,"m","unknown",NA
"WS",2000,"m","unknown",NA
